Rank;Imdb;Metascore;Filme;Votos;Ano
233;7.9;79; Clube de Compras Dallas;480,195;2013
234;7.3;62; Fragmentado;479,134;IX 2016
235;7.3;72; Sniper Americano;477,320;2014
236;7.5;64; Corações de Ferro;476,247;2014
237;7.6;55; Simplesmente Amor;475,705;2003
238;7.5;61; A Era do Gelo;475,289;2002
239;6.4;49; Hancock;475,217;2008
240;7.2;90; Trapaça;473,923;2013
241;7.3;69; Tenet;473,400;2020
242;7.8;80; Pequena Miss Sunshine;472,627;2006
243;8.1;74; Rush: No Limite da Emoção;471,260;I 2013
244;6.7;72; A Fantástica Fábrica de Chocolate;471,134;2005
245;6.6;35; Venom;469,918;2018
246;8.2;; The Witcher;469,801;2019– 
247;8.2;69; Green Book: O Guia;469,008;2018
248;7.4;69; Homem-Aranha: Longe de Casa;468,575;2019
249;7.2;66; Animais Fantásticos e Onde Habitam;466,613;2016
250;8.2;71; Guerreiro;465,440;2011
251;8.1;93; Spotlight: Segredos Revelados;461,611;I 2015
252;6.7;61; Wolverine: Imortal;459,607;2013
253;8.2;; La Casa de Papel;459,532;2017–2021
254;6.8;55; Aquaman;459,127;2018
255;7.6;74; Kung Fu Panda;459,083;2008
256;7.7;73; A Supremacia Bourne;458,805;2004
257;7.8;71; Millennium: Os Homens que Não Amavam as Mulheres;457,397;2011
258;6.8;57; Maze Runner: Correr ou Morrer;456,770;2014
259;5.3;56; Crepúsculo;456,052;I 2008
260;7.3;75; Shrek 2;454,486;2004
261;6.6;48; Divergente;453,737;2014
262;7.8;82; Capitão Phillips;453,120;2013
263;8.1;62; Histórias Cruzadas;452,084;2011
264;8.7;; Dr. House;451,214;2004–2012
265;7.8;74; Operação Big Hero;450,964;2014
266;7.9;84; Sobre Meninos e Lobos;450,753;2003
267;7.4;55; O Terminal;449,447;2004
268;6.1;65; Indiana Jones e o Reino da Caveira de Cristal;449,189;2008
269;7.4;48; Sherlock Holmes: O Jogo de Sombras;448,715;2011
270;9.4;; Irmãos de Guerra;447,738;2001
271;6.6;64; Jogos Vorazes: A Esperança - Parte 1;447,504;2014
272;7.7;89; Encontros e Desencontros;446,777;2003
273;7.5;95; Guerra ao Terror;446,700;2008
274;6.1;45; Liga da Justiça;444,625;2017
275;6.9;57; Quero Matar Meu Chefe;444,265;2011
276;6.6;58; 007 - Quantum of Solace;443,653;2008
277;6.5;73; Guerra dos Mundos;443,281;2005
278;7.7;71; Enrolados;443,061;2010
279;6.4;47; O Dia Depois de Amanhã;442,629;2004
280;6.6;61; Elysium;442,626;I 2013
281;7.7;71; A Teoria de Tudo;442,618;2014
282;7.0;44; Família do Bagulho;441,587;2013
283;8.7;; O Mandaloriano;439,364;2019– 
284;8.0;58; Peixe Grande e suas Histórias Maravilhosas;437,175;2003
285;7.6;79; Planeta dos Macacos: O Confronto;435,894;2014
286;7.5;72; Gangues de Nova York;435,694;2002
287;6.5;53; Star Wars: A Ascensão Skywalker;435,325;2019
288;7.8;66; Crash: No Limite;434,259;I 2004
289;6.8;60; 007 Contra Spectre;434,165;I 2015
290;7.8;55; O Último Samurai;433,214;2003
291;8.5;; Sobrenatural;431,751;2005–2020
292;7.1;73; O Virgem de 40 Anos;429,601;2005
293;6.6;46; O Código Da Vinci;427,738;2006
294;7.7;69; Dia de Treinamento;427,462;2001
295;6.9;52; X-Men: Apocalipse;427,078;2016
296;7.5;; Arqueiro;426,998;2012–2020
297;8.8;; Better Call Saul;424,760;2015–2022
298;7.4;64; Jogador Nº 1;424,146;2018
299;8.6;; Demolidor;423,512;2015–2018
300;7.8;76; O Gângster;421,083;2007
301;7.6;82; Sicario: Terra de Ninguém;419,689;2015
302;7.8;81; A Grande Aposta;419,133;2015
303;7.7;81; Meia-Noite em Paris;418,480;2011
304;7.2;81; King Kong;418,222;2005
305;7.5;69; Scott Pilgrim Contra o Mundo;418,137;2010
306;7.4;75; John Wick: Um Novo Dia para Matar;417,680;2017
307;7.9;67; Na Mira do Chefe;416,445;2008
308;8.6;; O Gambito da Rainha;414,468;2020
309;7.7;72; Corrida do Açúcar;414,305;2012
310;7.6;87; O Homem Que Mudou o Jogo;414,165;2011
311;8.5;; Família Moderna;413,572;2009–2020
312;7.3;62; Corpo Fechado;412,680;2000
313;7.6;46; Jogos Mortais;412,635;2004
314;8.1;86; O Quarto de Jack;411,945;I 2015
315;7.3;87; A Forma da Água;411,352;2017
316;7.0;72; O Segredo da Cabana;409,530;2011
317;7.2;73; Carros;409,404;2006
318;6.4;53; Alice no País das Maravilhas;409,207;I 2010
319;6.9;62; O Diabo Veste Prada;409,203;2006
320;6.4;62; Godzilla;409,190;2014
321;7.0;71; Trovão Tropical;408,526;2008
322;8.8;; Narcos;408,173;2015–2017
323;7.5;73; Extermínio;406,795;2002
324;6.6;67; É o Fim;406,701;2013
325;6.7;53; O Preço do Amanhã;404,935;2011
326;7.1;69; Valente;404,289;2012
327;6.2;42; Transformers: O Lado Oculto da Lua;404,133;2011
328;5.9;35; Transformers: A Vingança dos Derrotados;403,866;2009
329;7.1;69; Duro de Matar 4.0;403,764;2007
330;7.3;89; Borat: O Segundo Melhor Repórter do Glorioso País Cazaquistão Viaja à América;402,421;2006
331;8.5;; Suits;398,773;2011–2019
332;6.7;46; Todo Poderoso;397,579;2003
333;6.9;57; Madagascar;396,504;2005
334;6.3;66; O Exterminador do Futuro 3: A Rebelião das Máquinas;395,511;2003
335;7.0;41; Passageiros;395,032;I 2016
336;7.0;64; Cloverfield: Monstro;394,359;2008
337;7.3;62; Meu Malvado Favorito 2;393,302;2013
338;7.5;71; Colateral;393,191;2004
339;8.7;; The Boys;392,557;2019– 
340;6.9;75; As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa;392,342;2005
341;7.7;74; Falcão Negro em Perigo;390,881;2001
